length,weight,species
25.4,242.0,Swedish
26.3,290.0,Swedish
26.5,340.0,Swedish
29.0,363.0,Swedish
29.0,430.0,Swedish
29.7,450.0,Swedish
29.7,500.0,Swedish
30.0,390.0,Swedish
30.0,450.0,Swedish
30.7,500.0,Swedish
31.0,475.0,Swedish
31.0,500.0,Swedish
31.5,500.0,Swedish
32.0,340.0,Swedish
32.0,600.0,Swedish
32.0,600.0,Swedish
33.0,700.0,Swedish
33.0,700.0,Swedish
33.5,610.0,Swedish
33.5,650.0,Swedish
34.0,575.0,Swedish
34.0,685.0,Swedish
34.5,620.0,Swedish
35.0,680.0,Swedish
35.0,700.0,Swedish
35.0,725.0,Swedish
35.0,720.0,Swedish
36.0,714.0,Swedish
36.0,850.0,Swedish
37.0,1000.0,Swedish
38.5,920.0,Swedish
38.5,955.0,Swedish
39.5,925.0,Swedish
41.0,975.0,Swedish
41.0,950.0,Swedish
9.8,6.7,McFish
10.5,7.5,McFish
10.6,7.0,McFish
11.0,9.7,McFish
11.2,9.8,McFish
11.3,8.7,McFish
11.8,10.0,McFish
11.8,9.9,McFish
12.0,9.8,McFish
12.2,12.2,McFish
12.4,13.4,McFish
13.0,12.2,McFish
14.3,19.7,McFish
15.0,19.9,McFish
