continent,country,pop
Africa,Algeria,19875406.166666668
Africa,Angola,7309390.083333333
Africa,Benin,4017496.6666666665
Africa,Botswana,971186.1666666666
Africa,Burkina Faso,7548677.25
Africa,Burundi,4651608.333333333
Africa,Cameroon,9816648.416666666
Africa,Central African Republic,2560963.0
Africa,Chad,5329256.333333333
Africa,Comoros,361683.9166666667
Africa,"Congo, Dem. Rep.",32681655.25
Africa,"Congo, Rep.",1923209.0833333333
Africa,Cote d'Ivoire,9153109.5
Africa,Djibouti,260243.91666666666
Africa,Egypt,46522774.25
Africa,Equatorial Guinea,327551.0
Africa,Eritrea,2820216.8333333335
Africa,Ethiopia,41632518.75
Africa,Gabon,795415.4166666666
Africa,Gambia,793138.5833333334
Africa,Ghana,12616626.416666666
Africa,Guinea,5360550.666666667
Africa,Guinea-Bissau,882008.4166666666
Africa,Kenya,18206250.166666668
Africa,Lesotho,1389696.4166666667
Africa,Liberia,1813857.1666666667
Africa,Libya,3166803.5833333335
Africa,Madagascar,9902402.166666666
Africa,Malawi,7016377.416666667
Africa,Mali,7112340.083333333
Africa,Mauritania,1782723.8333333333
Africa,Mauritius,926072.25
Africa,Morocco,20555741.916666668
Africa,Mozambique,12046695.333333334
Africa,Namibia,1157849.75
Africa,Niger,6857373.833333333
Africa,Nigeria,73708017.83333333
Africa,Reunion,518497.75
Africa,Rwanda,5298435.666666667
Africa,Sao Tome and Principe,105977.83333333333
Africa,Senegal,6446305.416666667
Africa,Sierra Leone,3605424.9166666665
Africa,Somalia,5197197.833333333
Africa,South Africa,29928352.166666668
Africa,Sudan,21560331.416666668
Africa,Swaziland,679052.0
Africa,Tanzania,20499497.666666668
Africa,Togo,2895964.0
Africa,Tunisia,6686770.25
Africa,Uganda,14361049.416666666
Africa,Zambia,6353804.833333333
Africa,Zimbabwe,7641966.083333333
Americas,Argentina,28602239.916666668
Americas,Bolivia,5610395.166666667
Americas,Brazil,122312126.66666667
Americas,Canada,24462967.333333332
Americas,Chile,11205725.333333334
Americas,Colombia,27256099.583333332
Americas,Costa Rica,2400007.75
Americas,Cuba,9232575.5
Americas,Dominican Republic,5735697.416666667
Americas,Ecuador,8212243.416666667
Americas,El Salvador,4343441.416666667
Americas,Guatemala,6858694.75
Americas,Haiti,5401633.75
Americas,Honduras,3920593.4166666665
Americas,Jamaica,2135122.8333333335
Americas,Mexico,68414297.41666667
Americas,Nicaragua,3040975.1666666665
Americas,Panama,1985290.25
Americas,Paraguay,3555485.9166666665
Americas,Peru,17559093.0
Americas,Puerto Rico,3115178.25
Americas,Trinidad and Tobago,1006469.6666666666
Americas,United States,228211232.5
Americas,Uruguay,2912487.1666666665
Americas,Venezuela,15129801.333333334
Asia,Afghanistan,15823715.416666666
Asia,Bahrain,373913.1666666667
Asia,Bangladesh,90755395.33333333
Asia,Cambodia,8510430.666666666
Asia,China,958160051.9166666
Asia,"Hong Kong, China",4792259.333333333
Asia,India,701130739.8333334
Asia,Indonesia,148322833.33333334
Asia,Iran,42301706.833333336
Asia,Iraq,14187495.166666666
Asia,Israel,3845610.75
Asia,Japan,111758808.0
Asia,Jordan,2667972.75
Asia,"Korea, Dem. Rep.",16453881.25
Asia,"Korea, Rep.",36499386.333333336
Asia,Kuwait,1206495.5833333333
Asia,Lebanon,2781846.4166666665
Asia,Malaysia,14574055.333333334
Asia,Mongolia,1734850.6666666667
Asia,Myanmar,33432292.5
Asia,Nepal,16551744.583333334
Asia,Oman,1438205.3333333333
Asia,Pakistan,93683385.75
Asia,Philippines,52636628.583333336
Asia,Saudi Arabia,12478368.0
Asia,Singapore,2667817.4166666665
Asia,Sri Lanka,14545831.75
Asia,Syria,9865378.75
Asia,Taiwan,16874723.916666668
Asia,Thailand,44961631.166666664
Asia,Vietnam,54568570.916666664
Asia,West Bank and Gaza,1848606.5
Asia,"Yemen, Rep.",10843191.833333334
Europe,Albania,2580249.1666666665
Europe,Austria,7583298.416666667
Europe,Belgium,9725118.666666666
Europe,Bosnia and Herzegovina,3816524.75
Europe,Bulgaria,8182985.333333333
Europe,Croatia,4289916.25
Europe,Czech Republic,9986262.833333334
Europe,Denmark,4994187.333333333
Europe,Finland,4771321.0
Europe,France,52952564.333333336
Europe,Germany,77547043.33333333
Europe,Greece,9424181.083333334
Europe,Hungary,10217645.666666666
Europe,Iceland,226978.08333333334
Europe,Ireland,3340825.9166666665
Europe,Italy,54536958.0
Europe,Montenegro,564269.6666666666
Europe,Netherlands,13786797.916666666
Europe,Norway,4031441.0833333335
Europe,Poland,34323304.416666664
Europe,Portugal,9586273.916666666
Europe,Romania,20819090.166666668
Europe,Serbia,8783886.75
Europe,Slovak Republic,4774507.083333333
Europe,Slovenia,1794381.4166666667
Europe,Spain,35851798.416666664
Europe,Sweden,8220028.916666667
Europe,Switzerland,6384293.166666667
Europe,Turkey,45909008.25
Europe,United Kingdom,56087800.666666664
Oceania,Australia,14649312.5
Oceania,New Zealand,3100032.1666666665
